        36998195 function calls (36797100 primitive calls) in 77.495 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       18   13.166    0.731   13.166    0.731 {built-in method _pywrap_tensorflow_internal.TF_SessionRun_wrapper}
       18   11.311    0.628   11.311    0.628 {built-in method _pywrap_tensorflow_internal.ExtendSession}
       12    4.950    0.413    7.483    0.624 {built-in method _pickle.dump}
        3    4.850    1.617   29.011    9.670 data_loader.py:56(featurize_smiles_df)
       20    3.562    0.178    4.740    0.237 {built-in method _pickle.load}
1233294/1233270    3.189    0.000    3.190    0.000 {built-in method numpy.array}
    10192    3.129    0.000   13.708    0.001 graph_features.py:337(<listcomp>)
  1019404    3.094    0.000    4.375    0.000 graph_features.py:28(one_of_k_encoding_unk)
   254851    2.666    0.000    9.888    0.000 graph_features.py:122(atom_features)
    10192    2.643    0.000    2.643    0.000 graph_features.py:354(<listcomp>)
       40    2.446    0.061    2.446    0.061 {method 'compress' of 'zlib.Compress' objects}
       56    1.484    0.026    1.484    0.026 {built-in method time.sleep}
    10192    1.318    0.000    4.281    0.000 mol_graphs.py:117(_deg_sort)
 15545911    1.281    0.000    1.281    0.000 graph_features.py:32(<lambda>)
    10192    1.096    0.000   23.964    0.002 graph_features.py:334(_featurize)
     6031    1.022    0.000    1.022    0.000 {method 'decompress' of 'zlib.Decompress' objects}
   510294    0.692    0.000    1.358    0.000 shape_base.py:83(atleast_2d)
   301391    0.640    0.000    0.640    0.000 {built-in method numpy.concatenate}
   254851    0.614    0.000    0.867    0.000 graph_features.py:21(one_of_k_encoding)
     7984    0.447    0.000    0.494    0.000 tf_stack.py:32(extract_stack)
5756/5509    0.326    0.000    4.933    0.001 op_def_library.py:355(_apply_op_helper)
     7972    0.276    0.000    0.276    0.000 {built-in method _pywrap_tensorflow_internal.TF_FinishOperation}
        3    0.271    0.090    0.593    0.198 data_loader.py:26(convert_df_to_numpy)
   260528    0.258    0.000    0.395    0.000 <frozen importlib._bootstrap>:997(_handle_fromlist)
    10192    0.257    0.000    5.639    0.001 mol_graphs.py:53(__init__)
  2803361    0.253    0.000    0.253    0.000 graph_features.py:25(<lambda>)
        4    0.218    0.055   39.515    9.879 datasets.py:547(create_dataset)
1162954/1162948    0.208    0.000    0.276    0.000 {built-in method builtins.isinstance}
     8606    0.189    0.000    0.577    0.000 inspect.py:2102(_signature_from_function)
    45936    0.188    0.000    1.546    0.000 shape_base.py:283(<listcomp>)
     8606    0.185    0.000    0.886    0.000 inspect.py:1089(getfullargspec)
    10312    0.174    0.000    0.426    0.000 function_base.py:4430(insert)
  1771741    0.174    0.000    0.174    0.000 {method 'append' of 'list' objects}
7972/7948    0.170    0.000    2.355    0.000 ops.py:1894(__init__)
655269/654711    0.160    0.000    0.169    0.000 {built-in method builtins.hasattr}
   112112    0.157    0.000    0.157    0.000 mol_graphs.py:160(<listcomp>)
    45936    0.154    0.000    2.015    0.000 shape_base.py:229(vstack)
    38698    0.149    0.000    0.468    0.000 ops.py:5644(get_controller)
    81999    0.149    0.000    0.242    0.000 inspect.py:2452(__init__)
    10192    0.149    0.000    0.149    0.000 {built-in method numpy.lexsort}
   510312    0.137    0.000    0.569    0.000 numeric.py:541(asanyarray)
    10192    0.129    0.000   24.147    0.002 base_classes.py:84(featurize)
    10192    0.129    0.000    0.129    0.000 mol_graphs.py:98(<listcomp>)
   254851    0.129    0.000    0.295    0.000 graph_features.py:312(_get_atom_properties)
    10194    0.125    0.000    1.500    0.000 datasets.py:911(iterate)
     7972    0.121    0.000    0.189    0.000 ops.py:1789(_NodeDef)
   102360    0.119    0.000    0.143    0.000 contextlib.py:59(__init__)
        3    0.118    0.039    1.528    0.509 datasets.py:1330(get_shape)
    10192    0.115    0.000    0.289    0.000 mol_graphs.py:143(<listcomp>)
       36    0.114    0.003    0.114    0.003 {method 'tobytes' of 'memoryview' objects}
7972/7948    0.114    0.000    3.357    0.000 ops.py:3535(create_op)
1128317/1123085    0.111    0.000    0.115    0.000 {built-in method builtins.len}
    14805    0.109    0.000    0.392    0.000 ops.py:2624(get_attr)
    91728    0.108    0.000    0.213    0.000 _dtype.py:115(_scalar_str)
     7972    0.107    0.000    0.800    0.000 ops.py:1824(_create_c_op)
8487/7976    0.106    0.000    4.709    0.001 deprecation.py:473(new_func)
    14013    0.101    0.000    0.101    0.000 {method 'reduce' of 'numpy.ufunc' objects}
     7972    0.100    0.000    0.487    0.000 ops.py:3652(_create_op_helper)
        2    0.097    0.048    1.605    0.802 datasets.py:236(get_statistics)
203666/112520    0.096    0.000    1.810    0.000 {built-in method builtins.next}
249676/248952    0.091    0.000    0.095    0.000 {built-in method builtins.getattr}
102548/56986    0.090    0.000    0.884    0.000 contextlib.py:85(__exit__)
    76867    0.086    0.000    0.110    0.000 pywrap_tensorflow_internal.py:39(_swig_setattr_nondynamic)
     8531    0.082    0.000    1.091    0.000 tf_inspect.py:260(getcallargs)
    86880    0.081    0.000    0.081    0.000 {built-in method numpy.zeros}
      586    0.081    0.000    0.081    0.000 {method 'join' of 'bytes' objects}
     8606    0.073    0.000    0.118    0.000 inspect.py:2732(__init__)
    20624    0.072    0.000    0.101    0.000 numeric.py:1557(normalize_axis_tuple)
   168107    0.070    0.000    0.095    0.000 dtypes.py:686(as_dtype)
    10312    0.070    0.000    0.070    0.000 {method 'cumsum' of 'numpy.ndarray' objects}
    35541    0.068    0.000    0.068    0.000 mol_graphs.py:162(<listcomp>)
    18103    0.066    0.000    0.180    0.000 ops.py:6074(_get_graph_from_inputs)
   102360    0.066    0.000    0.209    0.000 contextlib.py:157(helper)
    15007    0.065    0.000    0.178    0.000 pywrap_tensorflow_internal.py:1410(__init__)
    91728    0.065    0.000    0.094    0.000 _dtype.py:172(_byte_order_str)
    10312    0.063    0.000    0.198    0.000 numeric.py:1620(moveaxis)
     2216    0.063    0.000    0.210    0.000 tensor_util.py:375(make_tensor_proto)
14222/13202    0.061    0.000    1.852    0.000 ops.py:1152(internal_convert_to_tensor)
    15499    0.061    0.000    0.061    0.000 {built-in method _pywrap_tensorflow_internal.TF_SetAttrValueProto}
    24142    0.060    0.000    0.167    0.000 ops.py:4213(name_scope)
      586    0.060    0.000    1.226    0.002 compressor.py:482(readinto)
    15944    0.058    0.000    0.058    0.000 {method 'ByteSize' of 'google.protobuf.pyext._message.CMessage' objects}
      188    0.057    0.000    0.086    0.000 variable_scope.py:1335(close_variable_subscopes)
    18539    0.056    0.000    0.056    0.000 {method 'SerializeToString' of 'google.protobuf.pyext._message.CMessage' objects}
     7972    0.056    0.000    0.089    0.000 ops.py:3227(_add_op)
     7972    0.055    0.000    0.055    0.000 {built-in method _pywrap_tensorflow_internal.TF_NewOperation}
    10192    0.055    0.000    0.686    0.000 mol_graphs.py:31(cumulative_sum)
    23615    0.055    0.000    0.055    0.000 _collections_abc.py:742(__iter__)
    87774    0.055    0.000    0.098    0.000 dtypes.py:260(__eq__)
    82480    0.053    0.000    0.071    0.000 enum.py:267(__call__)
    10192    0.053    0.000    0.053    0.000 mol_graphs.py:133(<listcomp>)
    15454    0.048    0.000    0.048    0.000 {method 'ParseFromString' of 'google.protobuf.pyext._message.CMessage' objects}
    91728    0.048    0.000    0.320    0.000 _dtype.py:57(__repr__)
    20767    0.048    0.000    0.127    0.000 gradients_util.py:283(IsTrainable)
    14805    0.045    0.000    0.046    0.000 {built-in method _pywrap_tensorflow_internal.TF_OperationGetAttrValueProto}
    10514    0.043    0.000    0.196    0.000 fromnumeric.py:54(_wrapfunc)
    10192    0.042    0.000    0.059    0.000 mol_graphs.py:69(<listcomp>)
    10192    0.042    0.000    0.079    0.000 mol_graphs.py:85(<listcomp>)
    37696    0.042    0.000    0.042    0.000 ops.py:3926(_get_operation_by_name_unsafe)
        1    0.041    0.041    0.041    0.041 {built-in method _posixsubprocess.fork_exec}
8681/8606    0.041    0.000    0.627    0.000 inspect.py:2183(_signature_from_callable)
    43717    0.041    0.000    0.074    0.000 ops.py:5624(get_default)
        1    0.040    0.040    0.040    0.040 {built-in method posix.read}
    18025    0.040    0.000    0.040    0.000 {method 'CopyFrom' of 'google.protobuf.pyext._message.CMessage' objects}
   182661    0.040    0.000    0.040    0.000 {method 'get' of 'dict' objects}
7972/7948    0.040    0.000    0.248    0.000 ops.py:2045(_control_flow_post_processing)
    12071    0.039    0.000    0.536    0.000 ops.py:6464(__enter__)
102360/56787    0.039    0.000    1.017    0.000 contextlib.py:79(__enter__)
     9437    0.039    0.000    0.039    0.000 {built-in method _pywrap_tensorflow_internal.TF_AddInput}
        1    0.039    0.039    0.339    0.339 gradients_util.py:103(_MarkReachedOps)
        2    0.038    0.019    5.953    2.976 datasets.py:926(transform)
   114312    0.038    0.000    0.038    0.000 mol_graphs.py:110(get_num_atoms_with_deg)
    91728    0.037    0.000    0.250    0.000 _dtype.py:80(_construction_repr)
    45939    0.037    0.000    0.076    0.000 shape_base.py:220(_warn_for_nonsequence)
    10943    0.037    0.000    0.133    0.000 fromnumeric.py:69(_wrapreduction)
     2216    0.036    0.000    1.500    0.001 constant_op.py:249(_constant_impl)
    76867    0.035    0.000    0.145    0.000 pywrap_tensorflow_internal.py:58(_swig_setattr)
    17749    0.034    0.000    0.075    0.000 {built-in method _pywrap_tensorflow_internal.TF_NewBuffer}
    90605    0.034    0.000    0.045    0.000 inspect.py:2781(<genexpr>)
     9537    0.034    0.000    0.057    0.000 ops.py:4328(unique_name)
    23060    0.033    0.000    0.064    0.000 dtypes.py:240(is_compatible_with)
    15049    0.033    0.000    0.037    0.000 pywrap_tensorflow_internal.py:62(_swig_getattr_nondynamic)
    15007    0.033    0.000    0.283    0.000 c_api_util.py:176(tf_output)
